point_id,seed,cure_run_dir,mode,status,base_feasible,selected_mask,selected_interventions,lower_improvement,upper_improvement,cost,relevance_delta_lower,provider_disparity_upper,fatigue_upper,feasible,reason,action
baseline,42,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/baseline/seed-sweep-20260806T195446Z/runs/calibration-baseline-seed-42-20260806T195446Z-a7ee83c5,repair,repair_selected,False,1,"('repeat_cap',)",0.2985139280765191,0.3130691025188375,0.05,-0.04413677084635825,0.22587191358024694,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
baseline,43,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/baseline/seed-sweep-20260806T195446Z/runs/calibration-baseline-seed-43-20260806T200536Z-b530d05f,improvement,improve_selected,True,1,"('repeat_cap',)",0.2962023794050887,0.3109911409956607,0.05,-0.029898931403684492,0.2027854938271605,0.0,True,Base policy is feasible; selected the exact maximin-improvement portfolio.,improve_selected
baseline,44,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/baseline/seed-sweep-20260806T195446Z/runs/calibration-baseline-seed-44-20260806T213514Z-832ef714,repair,repair_selected,False,1,"('repeat_cap',)",0.29276096362793325,0.30577479791996376,0.05,-0.04315057993014337,0.21989969135802467,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
baseline,45,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/baseline/seed-sweep-20260806T195446Z/runs/calibration-baseline-seed-45-20260806T214605Z-c8a64080,repair,repair_selected,False,1,"('repeat_cap',)",0.2939286070597903,0.3137331706529291,0.05,-0.03773408964459812,0.25683641975308635,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
baseline,46,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/baseline/seed-sweep-20260806T195446Z/runs/calibration-baseline-seed-46-20260806T215700Z-a1072a16,repair,repair_selected,False,1,"('repeat_cap',)",0.293002483007298,0.3109411815143742,0.05,-0.036125545165068274,0.21988425925925914,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
lhs-001,42,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-001/seed-sweep-20260806T220753Z/runs/calibration-lhs-001-seed-42-20260806T220753Z-c9e59301,repair,repair_selected,False,5,"('repeat_cap', 'tail_slot')",-0.03273765775413423,-0.028026278251002124,0.13,-0.0485178166690835,0.16427015250544663,0.6381454047655588,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
lhs-001,43,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-001/seed-sweep-20260806T220753Z/runs/calibration-lhs-001-seed-43-20260806T222321Z-50363ab7,repair,repair_selected,False,5,"('repeat_cap', 'tail_slot')",-0.0319739293797813,-0.025945549992991424,0.13,-0.03935707481592776,0.15375272331154677,0.6372079492313056,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
lhs-001,44,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-001/seed-sweep-20260806T220753Z/runs/calibration-lhs-001-seed-44-20260806T224135Z-d3c62e6e,repair,repair_selected,False,5,"('repeat_cap', 'tail_slot')",-0.03475818387077223,-0.02998313209385131,0.13,-0.04208802471277995,0.1574237472766884,0.6379462375074277,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
lhs-001,45,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-001/seed-sweep-20260806T220753Z/runs/calibration-lhs-001-seed-45-20260806T225835Z-352a98a8,repair,repair_selected,False,5,"('repeat_cap', 'tail_slot')",-0.034117572353672826,-0.026290334459962372,0.13,-0.03618101636520121,0.2163235294117647,0.6377904530481412,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
lhs-001,46,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-001/seed-sweep-20260806T220753Z/runs/calibration-lhs-001-seed-46-20260806T231403Z-0f6fe9ca,repair,repair_selected,False,5,"('repeat_cap', 'tail_slot')",-0.03335874094085631,-0.0262688014210741,0.13,-0.042121559344993176,0.1762091503267973,0.6377186021112318,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
lhs-002,42,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-002/seed-sweep-20260806T232931Z/runs/calibration-lhs-002-seed-42-20260806T232931Z-44d83066,repair,repair_selected,False,1,"('repeat_cap',)",0.17716515369943797,0.1899849563564499,0.05,-0.03831622423875081,0.23603703703703705,0.23087379457708634,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
lhs-002,43,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-002/seed-sweep-20260806T232931Z/runs/calibration-lhs-002-seed-43-20260806T233836Z-1331f959,improvement,improve_selected,True,1,"('repeat_cap',)",0.17500212567152018,0.18736439620707424,0.05,-0.025472832928194244,0.20333333333333337,0.2308926170719843,True,Base policy is feasible; selected the exact maximin-improvement portfolio.,improve_selected
