variation,seed,cure_run_dir,mode,status,base_feasible,selected_mask,selected_interventions,lower_improvement,upper_improvement,cost,relevance_delta_lower,provider_disparity_upper,fatigue_upper,feasible,reason,action
quick_five_seed,42,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/quick_five_seed/seed-sweep-20260804T202826Z/runs/quick_five_seed-seed-42-20260804T202826Z-cb767780,improvement,improve_selected,True,1,"('repeat_cap',)",0.02703258221131133,0.03258652756926306,0.05,-0.03932083801222208,0.22428385416666674,0.0,True,Base policy is feasible; selected the exact maximin-improvement portfolio.,improve_selected
quick_five_seed,43,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/quick_five_seed/seed-sweep-20260804T202826Z/runs/quick_five_seed-seed-43-20260804T202852Z-26dc93b0,improvement,improve_selected,True,1,"('repeat_cap',)",0.032671072323232075,0.03525448312452428,0.05,-0.031778808520365964,0.23665364583333326,0.0,True,Base policy is feasible; selected the exact maximin-improvement portfolio.,improve_selected
quick_five_seed,44,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/quick_five_seed/seed-sweep-20260804T202826Z/runs/quick_five_seed-seed-44-20260804T202918Z-03700a86,improvement,improve_selected,True,1,"('repeat_cap',)",0.03083985516082144,0.033280788878937484,0.05,-0.0346417804054483,0.23893229166666674,0.0,True,Base policy is feasible; selected the exact maximin-improvement portfolio.,improve_selected
quick_five_seed,45,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/quick_five_seed/seed-sweep-20260804T202826Z/runs/quick_five_seed-seed-45-20260804T202944Z-554cebe7,improvement,improve_selected,True,1,"('repeat_cap',)",0.028923789630900143,0.03716708428340365,0.05,-0.03914662055577334,0.21516927083333326,0.0,True,Base policy is feasible; selected the exact maximin-improvement portfolio.,improve_selected
quick_five_seed,46,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/quick_five_seed/seed-sweep-20260804T202826Z/runs/quick_five_seed-seed-46-20260804T203010Z-0e9cc570,repair,repair_selected,False,5,"('repeat_cap', 'tail_slot')",-0.05739442883286194,-0.04540728640390024,0.13,-0.0421342193843911,0.275390625,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
full_five_seed,42,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_five_seed/seed-sweep-20260804T210624Z/runs/full_five_seed-seed-42-20260804T210624Z-ac154c83,repair,repair_selected,False,1,"('repeat_cap',)",0.2985139280765191,0.3130691025188375,0.05,-0.04413677084635825,0.22587191358024694,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
full_five_seed,43,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_five_seed/seed-sweep-20260804T210624Z/runs/full_five_seed-seed-43-20260804T215908Z-ce03c09a,improvement,improve_selected,True,1,"('repeat_cap',)",0.2962023794050887,0.3109911409956607,0.05,-0.029898931403684492,0.2027854938271605,0.0,True,Base policy is feasible; selected the exact maximin-improvement portfolio.,improve_selected
full_five_seed,44,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_five_seed/seed-sweep-20260804T210624Z/runs/full_five_seed-seed-44-20260804T222838Z-19441476,repair,repair_selected,False,1,"('repeat_cap',)",0.29276096362793325,0.30577479791996376,0.05,-0.04315057993014337,0.21989969135802467,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
full_five_seed,45,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_five_seed/seed-sweep-20260804T210624Z/runs/full_five_seed-seed-45-20260804T233632Z-e7d2750b,repair,repair_selected,False,1,"('repeat_cap',)",0.2939286070597903,0.3137331706529291,0.05,-0.03773408964459812,0.25683641975308635,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
full_five_seed,46,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_five_seed/seed-sweep-20260804T210624Z/runs/full_five_seed-seed-46-20260804T234928Z-a599b09a,repair,repair_selected,False,1,"('repeat_cap',)",0.293002483007298,0.3109411815143742,0.05,-0.036125545165068274,0.21988425925925914,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
full_twenty_seed,100,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_twenty_seed/seed-sweep-20260805T000401Z/runs/full_twenty_seed-seed-100-20260805T000401Z-305af150,repair,repair_selected,False,1,"('repeat_cap',)",0.29346397643232813,0.3174891158975594,0.05,-0.03645878048677542,0.2115432098765433,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
full_twenty_seed,101,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_twenty_seed/seed-sweep-20260805T000401Z/runs/full_twenty_seed-seed-101-20260805T002608Z-bc6f3698,improvement,improve_selected,True,1,"('repeat_cap',)",0.29696206072374665,0.3150643284414878,0.05,-0.03919792613362716,0.2225848765432099,0.0,True,Base policy is feasible; selected the exact maximin-improvement portfolio.,improve_selected
full_twenty_seed,102,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_twenty_seed/seed-sweep-20260805T000401Z/runs/full_twenty_seed-seed-102-20260805T003759Z-9ff75a5e,repair,repair_selected,False,1,"('repeat_cap',)",0.2963261103325445,0.3100425014894789,0.05,-0.04795765212265535,0.2210802469135802,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
full_twenty_seed,103,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_twenty_seed/seed-sweep-20260805T000401Z/runs/full_twenty_seed-seed-103-20260805T005243Z-2ddaa2be,repair,repair_selected,False,1,"('repeat_cap',)",0.2969583787369118,0.30978673211426944,0.05,-0.035092770878932145,0.22860339506172833,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
full_twenty_seed,104,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_twenty_seed/seed-sweep-20260805T000401Z/runs/full_twenty_seed-seed-104-20260805T010346Z-8f137237,improvement,improve_selected,True,1,"('repeat_cap',)",0.2926737868641095,0.30788643538245286,0.05,-0.03923842433447666,0.2111188271604938,0.0,True,Base policy is feasible; selected the exact maximin-improvement portfolio.,improve_selected
full_twenty_seed,105,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_twenty_seed/seed-sweep-20260805T000401Z/runs/full_twenty_seed-seed-105-20260805T012232Z-fe5ae34f,repair,repair_selected,False,1,"('repeat_cap',)",0.29461974424557985,0.3091519592809302,0.05,-0.03695639018334784,0.2302777777777778,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
full_twenty_seed,106,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/all-variations-20260804T202725Z/full_twenty_seed/seed-sweep-20260805T000401Z/runs/full_twenty_seed-seed-106-20260805T013319Z-9409d24a,repair,repair_selected,False,1,"('repeat_cap',)",0.29208038070884124,0.3103745881493777,0.05,-0.04831300644918668,0.24476080246913567,0.0,True,Base policy violates robust constraints; selected the best feasible repair by maximin improvement.,repair_selected
